,Puesto,Año(s),Recaudación (en USD),Inflación (para 2024),Artista,Gira,Número de conciertos,Asistencia,Recaudación promedio,Ref.
0,1,2023-2024,$ 1 039 263 762,$1 039 263 762,Taylor Swift,The Eras Tour‡,60,4 300 000,173,[A]​
1,2,2018-2023,$939 126 765,$939 100 000,Elton John,Farewell: Yellow Brick Tour,330,5 300 000,285,[4]​[5]​
2,3,2022-2024,$810 968 681,$810 968 681,Coldplay,Music of the Spheres World Tour‡,132,7 667 672,614,[6]​
3,4,2017-2019,$776 200 000,$888 442 379,Ed Sheeran,÷ Tour,255,8 150 684,30,[7]​[8]​
4,5,2009-2011,$736 421 584,$887 000 000,U2,U2 360° Tour,110,7 272 046,67,[9]​
5,6,2021-2023,$617 300 000,$617 800 000,Harry Styles,Love On Tour,165,4 738 922,358,[10]​
6,7,2016-2019,$584 200 000,$668 678 225,Guns N' Roses,Not in This Lifetime... Tour,174,4 377 126,385,[11]​[12]​[13]​
7,8,2023,$579 813 546,$579 813 546,Beyoncé,Renaissance World Tour,56,2 776 855,1035,[14]​
8,9,2005-2007,$558 255 524,$787 883 017,The Rolling Stones,A Bigger Bang Tour,147,4 680 000,38,[15]​
9,10,2017-2021,$546 515 799,$590 190 470,The Rolling Stones,No Filter Tour,58,2 867 799,924,[15]​
10,11,2016-2017,$523 033 675,$624 430 917,Coldplay,A Head Full of Dreams Tour,123,5 389 586,459,[16]​
11,12,2010-2013,$458 673 798,$576 635 143,Roger Waters,The Wall Live,219,4 129 863,209,[17]​
12,13,2014-2024,$454 900 000,$454 900 000,Billy Joel,Billy Joel in Concert‡,168,No disponible,No disponible,[18]​
13,14,2008-2010,$441 121 000,$593 021 303,AC/DC,Black Ice World Tour,167,4 846 965,26,[19]​
14,15,2016-2019,$433 838 725,$492 180 138,Metallica,WorldWired Tour,143,4 198 613,30,[20]​
15,16,2008-2009,$407 713 266,$560 622 615,Madonna,Sticky & Sweet Tour,85,3 545 899,479,[21]​
16,17,2018-2019,$397 300 000,$454 751 555,Pink,Beautiful Trauma World Tour,156,3 088 647,255,[22]​
17,18,2017-2019,$390 778 581,$466 536 362,U2,"The Joshua Tree Tour 2017, 2019",66,3 279 712,592,[23]​
18,19,2005-2006,$389 047 636,$564 685 705,U2,Vertigo Tour,131,4 619 021,296,[15]​
19,20,2022-2024,$379 496 085,$379 496 085,Bruce Springsteen E Street Band,2023 Tour‡,66,No disponible,575,[1]​
