,Unnamed: 0,Guerra,Duración,Bando 1,Bando 2,Resultado
0,0,Independencia de Quito,1820-1822,Provincia Libre de Guayaquil  Gran Colombia Co-beligerantes desde 1821  Provincias Unidas del Río de la Plata Chile Protectorado del Perú,Imperio español  Virreinato del Perú  Provincia de Quito,Victoria Incorporación de la Real Audiencia de Quito a la Gran Colombia.
1,1,Guerra grancolombo-peruana,1828-1829,Gran Colombia,República Peruana,Estancamiento Statu quo ante bellum
2,2,Revolución de los Chihuahuas,1833-1834,Gobierno conservador,Rebeldes liberales,Victoria conservadora
3,3,Guerra del Cauca[1]​,1832,Ecuador,Nueva Granada,Victoria de Nueva Granada Firma del Tratado de Pasto
4,4,Guerra de los Supremos,1839-1842,República de la Nueva Granada  República del Ecuador,Supremos,Victoria ecuatoriana
5,5,Primera guerra peruano-ecuatoriana,1858-1860,Ecuador,Perú,Victoria peruana. Suscripción del Tratado de Mapasingue
6,6,Guerra colombo-ecuatoriana,1862-1863,Ecuador,Estados Unidos de Colombia,Victoria colombiana Retirada/capitulación ecuatoriana (disputada) después de la Batalla de Cuaspud. El Tratado de Pinsaquí
7,7,Guerra hispano-sudamericana,1865-1866,Chile  Perú (desde finales de 1865)  Ecuador (desde 1866)  Bolivia (desde 1866),España,"Ambos bandos se adjudican la victoria[2]​ Retirada española de las Islas Chincha. El estado de guerra se mantiene entre las partes beligerantes hasta la firma de un armisticio indefinido en 1871. Posteriormente, España y los aliados sudamericanos firmaron tratados de paz por separado: Perú (1879), Bolivia (1879), Chile (1883) y Ecuador (1885)."
8,8,Levantamiento del Chimborazo de 1871[3]​[4]​,1871,Ecuador,Yaruquíes,Victoria del gobierno
9,9,Revolución de Veintemilla,1876,Gobierno conservador,Rebeldes liberales,Victoria liberal Derrocamiento del presidente Antonio Borrero Creación de la Constitución de 1878
10,10,Revolución liberal de Ecuador,1895,Gobierno conservador,Rebeldes liberales,Victoria liberal Muerte de líderes liberales en La Hoguera Bárbara.
11,11,Curuchupadas,1895-1899,Gobierno liberal,Rebeldes conservadores,Victoria liberal
12,12,Guerra de los Mil Días[5]​,1899-1902,Gobierno nacionalista (1899-1900)  Conservadores colombianos (1900-1902) Apoyados por:  Andradistas  Conservadores ecuatorianos,Liberales colombianos Apoyado por:  Venezuela  Ecuador  Nicaragua  Guatemala,Victoria conservadora
13,13,Combate de Angoteros,1903,Ecuador,Perú,Victoria del Perú[6]​
14,14,Combate de Torres Causana,1904,Ecuador,Perú,Victoria del Perú[7]​ El Ejército Peruano toma el control del río Aguarico y del río Napo.
15,15,Guerra de Concha (1913),1913-1916,Liberales (moderados),Liberales (Radicales),Victoria Liberales Moderados Continuidad de régimen plutocrático
16,16,Guerra civil ecuatoriana de 1932,1932-1932,Gobierno:  Liberales,Rebeldes:  Conservadores  Compactación Obrera Nacional,Victoria del gobierno Convocatoria de nuevas elecciones presidenciales
17,17,Segunda guerra peruano-ecuatoriana,1941-1942,Ecuador,Perú,Victoria peruana Suscripción del Protocolo de Río de Janeiro Declaración de la frontera definitiva entre ambos países.
18,18,Segunda Guerra Mundial,1945,Aliados:  Estados Unidos  Unión Soviética  Reino Unido  China  Francia  Polonia  Canadá  Australia  Nueva Zelanda  Brasil  México  Chile  Bolivia  Colombia  Ecuador  Paraguay  Perú  Venezuela,Potencias del Eje:  Alemania nazi  Reino de Italia  Imperio del Japón,Victoria aliada Colapso del Reich alemán Caída de los imperios japonés e italiano Creación de las Naciones Unidas Surgimiento de Estados Unidos y la Unión Soviética como superpotencias Comienzo de la Guerra Fría
19,19,Incidente fronterizo entre Perú y Ecuador de 1978,1978,Ecuador,Perú,Victoria del Perú[8]​
20,20,Conflicto del Falso Paquisha,1981,Ecuador,Perú,Derrota Victoria del Perú[9]​[10]​
21,21,Guerra del Cenepa,1995,Ecuador,Perú,Statu quo ante bellum Ambos bandos se adjudican la victoria. Ratificación del Protocolo de Río de Janeiro de 1942. Firma del Acta de Brasilia.
22,22,Guerra contra el narcotráfico en Ecuador,2018-Actualidad,Gobierno de Ecuador  Policía Nacional del Ecuador Grupo de Operaciones Especiales  Fuerzas Armadas del Ecuador  Ejército del Ecuador  Armada del Ecuador  Fuerza Aérea Ecuatoriana Centro de Inteligencia Estratégica,Disidencias de las FARC-EP Los Choneros  Cártel de Jalisco Nueva Generación Los Lobos Los Lagartos Los Chone Killers Los Tiguerones,En curso Aumento de la inseguridad en el país.
